race,n,base_rate,recall,precision,fp_share,fn_share
Amer-Indian-Eskimo,73,0.1232876712328767,0.4444444444444444,0.6666666666666666,0.0273972602739726,0.0684931506849315
Asian-Pac-Islander,200,0.26,0.7307692307692307,0.6551724137931034,0.1,0.07
Black,662,0.1404833836858006,0.6451612903225806,0.7142857142857143,0.03625377643504532,0.04984894259818731
Other,45,0.08888888888888889,1.0,1.0,0.0,0.0
White,5533,0.25483462859208383,0.7609929078014185,0.714856762158561,0.07735405747334177,0.06090728357129947
