Feature,Coefficient,Odds_Ratio
numeric__log_capital_gain,5.1702657920497685,175.9616004636437
numeric__has_capital_gain,-5.002692637182016,0.006719828556608225
categorical__age_bucket_65+,-1.0889775999507891,0.33656041725020985
categorical__age_bucket_<25,-1.050471581327504,0.3497727639079139
categorical__hours_bin_reduced,-1.002338941120734,0.36701999830395454
categorical__hours_bin_part-time,-0.6943759356642206,0.4993859997530845
categorical__hours_bin_extreme,0.6055324470843068,1.8322275134110086
categorical__age_bucket_45-54,0.5508846674594581,1.7347870488649135
categorical__age_bucket_35-44,0.5350927989569609,1.7076066990223553
numeric__is_married,0.4368608473655153,1.54784067596205
numeric__has_capital_loss,-0.4365570640548755,0.6462576187537714
numeric__edu_x_hours,-0.2833822520885437,0.7532318083909322
categorical__hours_bin_overtime,0.22655912665268035,1.254276768828371
categorical__age_bucket_25-34,0.2251617434386881,1.2525252875561814
numeric__is_higher_ed,0.10345408203087555,1.108994869403742
categorical__age_bucket_55-64,-0.03077395970803215,0.969694738386782
categorical__hours_bin_standard,0.00553937191679551,1.0055547426056264
