Feature,Coefficient,Odds_Ratio
numeric__age,0.46893616515863745,1.5982929687200305
numeric__fnlwgt,0.08441397211427958,1.0880792350494741
numeric__education_num,0.8625414503048858,2.3691741874322925
numeric__capital_gain,2.1806779281339894,8.852305451896711
numeric__capital_loss,0.6730132603941767,1.960134827454577
numeric__hours_per_week,0.2659046240508212,1.3046106242763982
numeric__has_capital_gain,-4.755989655673726,0.00860002941247126
numeric__log_capital_gain,4.882601090130935,131.97349277772682
numeric__is_higher_ed,0.11790937877810713,1.125142144991271
numeric__edu_x_hours,-0.26397931972356065,0.7679894217260266
numeric__is_married,1.1379706325785468,3.1204294375135535
numeric__has_capital_loss,-0.4320397006467661,0.6491836031646224
categorical__workclass_Federal-gov,0.5234964743911721,1.6879191099691953
categorical__workclass_Local-gov,-0.08097493614450907,0.9222168054636871
categorical__workclass_Never-worked,-0.2058595210573928,0.8139474107235384
categorical__workclass_Private,0.04877470365854944,1.0499837665890621
categorical__workclass_Self-emp-inc,0.2973283990015143,1.3462573364269377
categorical__workclass_Self-emp-not-inc,-0.32463432227226424,0.7227916141171192
categorical__workclass_State-gov,-0.19638396901228652,0.821696668040132
categorical__workclass_Without-pay,-0.8771688451412406,0.41595889024052607
categorical__education_10th,0.025949350812072818,1.0262889664543002
categorical__education_11th,-0.1516717132102766,0.859270321538819
categorical__education_12th,-0.16732341611810808,0.8459259809943618
categorical__education_1st-4th,0.42236273016846687,1.5255617916195894
categorical__education_5th-6th,0.5152436781327605,1.6740463805961174
categorical__education_7th-8th,0.1523651871832429,1.1645854504663304
categorical__education_9th,0.10279223178020123,1.1082611237130997
categorical__education_Assoc-acdm,-0.35723886851088893,0.6996053640823942
categorical__education_Assoc-voc,-0.060713229001016535,0.9410930792855707
categorical__education_Bachelors,-0.26448854368507635,0.7675984426666945
categorical__education_Doctorate,0.11277348908090272,1.1193783528108223
categorical__education_HS-grad,-0.03504664793017941,0.9655603738141045
categorical__education_Masters,-0.1912805524197106,0.8259008471638537
categorical__education_Preschool,-1.171539913077846,0.3098893709564546
categorical__education_Prof-school,0.1918766896819176,1.2115211146996523
categorical__education_Some-college,0.06051751053707385,1.0623862003604003
categorical__marital_status_Divorced,-0.24705042476003555,0.7811013056924206
categorical__marital_status_Married-AF-spouse,0.42556759206633604,1.5304588494839468
categorical__marital_status_Married-civ-spouse,-0.23396621792278743,0.791388550193119
categorical__marital_status_Married-spouse-absent,-0.21007499580609038,0.8105234578307127
categorical__marital_status_Never-married,-0.47557099493244825,0.6215300646081339
categorical__marital_status_Separated,-0.35114711660675463,0.703880193772434
categorical__marital_status_Widowed,0.2768201413853068,1.318929128934572
categorical__occupation_Adm-clerical,0.10037109277310352,1.105581115122262
categorical__occupation_Armed-Forces,-0.32486971756515537,0.7226214923971265
categorical__occupation_Craft-repair,0.10378245673601899,1.109359095064962
categorical__occupation_Exec-managerial,0.8205467185527823,2.2717415013070568
categorical__occupation_Farming-fishing,-0.8098770148383412,0.4449127805285857
categorical__occupation_Handlers-cleaners,-0.4996842316313521,0.6067222131512525
categorical__occupation_Machine-op-inspct,-0.19481593445162193,0.8229861275083042
categorical__occupation_Other-service,-0.6657298686743083,0.5138983125142971
categorical__occupation_Priv-house-serv,-1.5146450971753205,0.21988620923817115
